OBJECTID,SciName,CommName_E,CommName_F,Population,SpeciesID,SiteID,SiteName,CHApproach,CHMethod,Region,ProvTerr,LandTenure,UTMZone,Easting,Northing,Latitude,Longitude,Area_ha,Comments,DateEdited,CHStatus,CHDetail,CHVariant,FedDept,Shape_Leng,Shape_Area
1,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,625045.1195,5429047.625,49.00165138,-115.2902994,38.08805074,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,2548.44795,380880.5074
2,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,626478.5264,5430530.833,49.01469564,-115.2702482,82.91894447,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3229.119637,829189.4447
3,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,625572.7891,5432831.266,49.03556504,-115.2819173,90.46899857,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3380.888094,904689.9857
4,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,624878.5457,5439858.3,49.09888962,-115.2892431,191.4253089,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,5744.27587,1914253.089
5,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,610365.0963,5440039.267,49.10329187,-115.4879413,77.18809404,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3131.665959,771880.9404
6,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,624740.8799,5442532.808,49.12296522,-115.2903017,365.0623548,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,8322.351873,3650623.548
7,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,624188.3086,5445390.445,49.14877133,-115.2969915,78.91247556,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3149.247294,789124.7556
8,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,626010.9722,5446325.634,49.15680861,-115.2717164,78.90862202,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3149.170344,789086.2202
9,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,624792.5313,5446576.076,49.15930929,-115.2883422,78.90742394,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3149.146419,789074.2394
10,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,620638.4989,5446900.474,49.16305651,-115.3451965,155.7025975,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,5492.055505,1557025.975
11,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,614785.2497,5447588.702,49.17036749,-115.4252569,78.90212906,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3149.040685,789021.2906
12,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,612927.1005,5447735.659,49.17203369,-115.4506978,78.90132923,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3149.024712,789013.2923
13,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,619655.8477,5448584.03,49.17838679,-115.3581691,78.89828977,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3148.964016,788982.8977
14,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,627297.6863,5450267.884,49.19198858,-115.2528298,78.89179055,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3148.834226,788917.9055
15,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,619113.5962,5450153.855,49.19260765,-115.3651412,173.0681994,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,5203.626995,1730681.994
16,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,616319.1025,5452029.34,49.21000811,-115.4029373,202.8910903,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,5486.121186,2028910.903
17,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,610695.8461,5452381.469,49.21421606,-115.4800183,131.7845552,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,4333.821501,1317845.552
18,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,617228.8248,5453134.912,49.21977576,-115.3901291,78.8785243,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3148.569287,788785.243
19,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,619851.7756,5454464.951,49.23122734,-115.3537269,78.87306993,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3148.460354,788730.6993
20,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,611415.0101,5455682.231,49.24376632,-115.4692302,78.86710398,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3148.341201,788671.0398
21,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,621210.1808,5456856.922,49.25246721,-115.3343528,84.67243198,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3264.270098,846724.3198
22,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,613241.212,5456933.998,49.25468696,-115.4437951,78.86191189,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3148.237501,788619.1189
23,Sphyrapicus thyroideus,Williamson's Sapsucker,Pic de Williamson,,869,869_3,East Kootenay,Landscape,"Observations, Habitat Features, Modelling, Critical Function Zone",,British Columbia/Columbie-Britannique,,11,606449.7299,5457444.467,49.26049652,-115.5369577,78.85915138,,1/27/2016,Final,Detailed Polygon,,Canadian Wildlife Service,3148.182365,788591.5138
